order_id,customer_name,customer_address,restaurant_name,food_item,quantity,order_amount,delivery_zone,order_hour,delivery_time_minutes,payment_mode,order_status
44,Amit Sharma,"Flat 65, Vashi, Navi Mumbai",EatSure,Pizza,4,709.38,Vashi,3,30.504331440082588,Cash,Delayed
45,Vikram Reddy,"Flat 107, Thane, Thane",Wow! Momo,Fries,2,583.88,Thane,7,57.94369450089734,Card,Delivered
46,Kiran Patel,"Flat 45, Powai, Mumbai",Domino's Pizza,Burger,3,585.33,Powai,13,43.231176796674944,UPI,Delivered
47,Rahul Mehta,"Flat 65, Dadar, Mumbai",Paradise Biryani,Fries,3,434.87,Dadar,1,34.81636720090335,Card,Delivered
48,Rohit Singh,"Flat 1, Powai, Mumbai",Starbucks,Biryani,2,438.83,Powai,1,24.895322189358893,Card,Delivered
49,Ankit Patel,"Flat 43, Andheri East, Mumbai",Cafe Coffee Day,Fries,2,623.81,Andheri East,7,68.89920479939391,Cash,Delivered
50,Rahul Singh,"Flat 12, Dadar, Mumbai",Mainland China,Burger,3,355.61,Dadar,9,29.868244648597056,Cash,Delivered
51,Rahul Khan,"Flat 110, Thane, Thane",Rolls Mania,Wrap,3,524.87,Thane,23,22.032650126213813,Card,Delivered
52,Ramesh Khan,"Flat 19, Vashi, Navi Mumbai",Faasos,Fries,2,161.38,Vashi,16,,Cash,Delayed
53,Amit Khan,"Flat 115, Dadar, Mumbai",Paradise Biryani,Burger,1,336.11,Dadar,1,42.29502795862553,UPI,Delayed
54,Ankit Verma,"Flat 107, Powai, Mumbai",Domino's Pizza,Fries,2,481.37,Powai,15,56.400817349732534,Card,Delivered
55,Pooja Verma,"Flat 120, Vashi, Navi Mumbai",Cafe Coffee Day,Burger,4,358.37,Vashi,8,60.76595074490353,UPI,Cancelled
56,Suresh Iyer,"Flat 95, Andheri West, Mumbai",Mainland China,Burger,4,509.96,Andheri West,21,30.68024200218828,Card,Delivered
57,Priya Iyer,"Flat 77, Andheri East, Mumbai",Wow! Momo,Pasta,2,563.18,Andheri East,0,50.83922448746808,Card,Delivered
58,Pooja Singh,"Flat 13, Vashi, Navi Mumbai",Wow! Momo,Fries,3,486.58,Vashi,14,16.497140844086555,Card,Cancelled
59,Rahul Nair,"Flat 40, Andheri West, Mumbai",Domino's Pizza,Biryani,4,364.19,Andheri West,2,35.33367107810841,Cash,Cancelled
60,Ramesh Mehta,"Flat 118, Andheri West, Mumbai",Chai Point,Burger,2,799.52,Andheri West,23,25.2784206066146,Cash,Cancelled
61,Ankit Patel,"Flat 105, Thane, Thane",KFC,Fries,3,280.82,Thane,7,29.144202779576545,Card,Cancelled
62,Vikram Sharma,"Flat 1, Andheri West, Mumbai",Mainland China,Biryani,2,476.12,Andheri West,13,44.556692492186606,Card,Cancelled
63,Ankit Verma,"Flat 43, Dadar, Mumbai",KFC,Pizza,1,606.26,Dadar,23,200.0,Card,Cancelled
64,Ankit Verma,"Flat 50, Powai, Mumbai",Barbeque Nation,Wrap,3,522.44,Powai,1,42.32938123839028,Card,Delivered
65,Amit Singh,"Flat 120, Vashi, Navi Mumbai",Faasos,Pasta,3,506.73,Vashi,6,49.46300726587114,Card,Cancelled
66,Amit Mehta,"Flat 71, Thane, Thane",Faasos,Wrap,2,377.54,Thane,20,25.74617076364291,Card,Cancelled
67,Amit Nair,"Flat 22, Andheri West, Mumbai",Wow! Momo,Biryani,3,491.94,Andheri West,12,27.18541497043532,Cash,Delivered
68,Ramesh Reddy,"Flat 86, Thane, Thane",Subway,Burger,2,83.51,Thane,16,18.830226586239416,Card,Delayed
69,Suresh Reddy,"Flat 98, Bandra, Mumbai",Biryani Blues,Pizza,1,182.7,Bandra,5,36.322323868975936,Card,Delayed
70,Rahul Gupta,"Flat 48, Andheri West, Mumbai",Domino's Pizza,Fries,4,524.67,Andheri West,12,5.720328521823124,Card,Delayed
71,Neha Iyer,"Flat 35, Powai, Mumbai",Behrouz Biryani,Pasta,3,549.23,Powai,4,24.334202058146893,Cash,Delayed
72,Neha Iyer,"Flat 35, Andheri East, Mumbai",Box8,Wrap,3,225.61,Andheri East,0,27.037193721130414,UPI,Delivered
73,Vikram Reddy,"Flat 63, Thane, Thane",Cafe Coffee Day,Momos,4,347.01,Thane,14,200.0,UPI,Delivered
74,Suresh Patel,"Flat 67, Andheri West, Mumbai",Box8,Burger,1,285.31,Andheri West,0,30.899257906313302,UPI,Delivered
75,Priya Sharma,"Flat 92, Vashi, Navi Mumbai",Behrouz Biryani,Pasta,4,142.78,Vashi,22,30.78338130779872,UPI,Delivered
76,Rahul Singh,"Flat 75, Thane, Thane",Rolls Mania,Burger,1,91.27,Thane,17,35.21733417464415,Card,Cancelled
77,Ramesh Gupta,"Flat 108, Vashi, Navi Mumbai",Paradise Biryani,Pasta,2,589.46,Vashi,0,32.092155245686534,Card,Delayed
78,Sneha Singh,"Flat 3, Andheri East, Mumbai",Faasos,Burger,3,792.88,Andheri East,7,51.37908203367235,Cash,Cancelled
79,Ankit Iyer,"Flat 5, Powai, Mumbai",Barbeque Nation,Fries,4,601.75,Powai,6,11.655685297269617,UPI,Cancelled
80,Kiran Nair,"Flat 27, Andheri East, Mumbai",Biryani Blues,Pizza,4,646.11,Andheri East,7,53.094232911737706,Card,Cancelled
81,Rahul Khan,"Flat 79, Powai, Mumbai",Faasos,Fries,1,532.36,Powai,19,21.060142773406422,UPI,Cancelled
82,Amit Iyer,"Flat 77, Andheri East, Mumbai",Pizza Hut,Pizza,4,150.55,Andheri East,14,62.90083508340718,Cash,Cancelled
83,Kiran Verma,"Flat 120, Andheri East, Mumbai",Cafe Coffee Day,Fries,4,672.46,Andheri East,1,42.14506550385879,Card,Delayed
84,Kiran Mehta,"Flat 48, Dadar, Mumbai",KFC,Burger,1,566.59,Dadar,8,24.55113476512095,UPI,Cancelled
85,Vikram Verma,"Flat 98, Thane, Thane",Wow! Momo,Momos,4,287.56,Thane,2,18.93661238007694,UPI,Delayed
86,Pooja Iyer,"Flat 70, Bandra, Mumbai",Barbeque Nation,Fries,4,488.46,Bandra,0,22.743796297567293,Cash,Cancelled
87,Suresh Mehta,"Flat 49, Andheri East, Mumbai",Pizza Hut,Biryani,2,640.82,Andheri East,23,-10.0,UPI,Delayed
88,Ankit Gupta,"Flat 43, Bandra, Mumbai",Behrouz Biryani,Fries,3,423.74,Bandra,8,20.89581328641588,Card,Delivered
89,Kiran Khan,"Flat 82, Dadar, Mumbai",Paradise Biryani,Burger,4,562.16,Dadar,22,49.41614695420259,Card,Cancelled
90,Ramesh Mehta,"Flat 64, Dadar, Mumbai",Domino's Pizza,Momos,3,583.04,Dadar,22,15.130379966281534,UPI,Delayed
91,Suresh Gupta,"Flat 41, Dadar, Mumbai",Rolls Mania,Burger,2,527.08,Dadar,12,27.823731802931512,UPI,Delivered
92,Vikram Verma,"Flat 5, Vashi, Navi Mumbai",Subway,Wrap,1,693.86,Vashi,2,39.51020622534362,Card,Delayed
93,Rahul Iyer,"Flat 54, Andheri East, Mumbai",Box8,Pizza,2,79.24,Andheri East,4,36.74839909603053,Card,Cancelled
94,Priya Iyer,"Flat 69, Vashi, Navi Mumbai",KFC,Momos,3,596.23,Vashi,9,14.452104215312083,Card,Delayed
95,Ramesh Gupta,"Flat 95, Bandra, Mumbai",Subway,Pizza,2,677.6,Bandra,4,31.125255001435836,Card,Delayed
96,Suresh Gupta,"Flat 51, Andheri East, Mumbai",Cafe Coffee Day,Pizza,1,300.19,Andheri East,20,39.101582268965366,Card,Delivered
97,Rahul Sharma,"Flat 114, Powai, Mumbai",Barbeque Nation,Burger,3,288.52,Powai,7,51.23610139584822,UPI,Delivered
98,Suresh Khan,"Flat 75, Dadar, Mumbai",Cafe Coffee Day,Momos,2,862.76,Dadar,14,4.21046737586984,Cash,Cancelled
99,Sneha Sharma,"Flat 82, Andheri East, Mumbai",Biryani Blues,Burger,3,577.28,Andheri East,10,6.338766835667066,UPI,Delivered
100,Suresh Singh,"Flat 77, Andheri East, Mumbai",Domino's Pizza,Momos,3,479.41,Andheri East,13,49.08277653438009,Cash,Cancelled
101,Rohit Khan,"Flat 10, Bandra, Mumbai",Starbucks,Wrap,1,653.0,Bandra,13,9.749047345428671,UPI,Cancelled
102,Sneha Nair,"Flat 82, Andheri West, Mumbai",Mainland China,Fries,3,181.27,Andheri West,13,13.376844250423023,Card,Delayed
103,Ramesh Mehta,"Flat 40, Andheri East, Mumbai",Faasos,Wrap,1,607.7,Andheri East,11,29.574975310025504,Cash,Delivered
104,Vikram Mehta,"Flat 1, Andheri West, Mumbai",KFC,Momos,1,612.15,Andheri West,12,39.50170858596191,Cash,Cancelled
105,Pooja Patel,"Flat 2, Andheri West, Mumbai",Mainland China,Burger,3,415.56,Andheri West,23,28.34534254179435,Cash,Delivered
106,Rohit Gupta,"Flat 21, Bandra, Mumbai",KFC,Wrap,4,386.63,Bandra,6,17.942948177522016,Card,Delivered
107,Amit Reddy,"Flat 7, Bandra, Mumbai",McDonald's,Fries,2,390.03,Bandra,20,43.896922277148434,UPI,Delayed
108,Vikram Khan,"Flat 26, Dadar, Mumbai",Biryani Blues,Burger,4,335.35,Dadar,16,42.13189332221923,UPI,Cancelled
109,Ankit Verma,"Flat 32, Andheri West, Mumbai",Biryani Blues,Burger,1,457.83,Andheri West,21,26.114126108153727,Card,Delivered
110,Vikram Khan,"Flat 71, Powai, Mumbai",Faasos,Biryani,2,568.48,Powai,13,32.07677745787564,Card,Delayed
111,Ankit Reddy,"Flat 57, Thane, Thane",Box8,Pizza,4,0.0,Thane,19,37.674353624089406,Card,Delivered
112,Pooja Mehta,"Flat 9, Andheri East, Mumbai",McDonald's,Momos,4,404.55,Andheri East,16,31.707582432334988,Cash,Delayed
113,Amit Sharma,"Flat 17, Vashi, Navi Mumbai",Cafe Coffee Day,Burger,1,454.56,Vashi,16,19.39803404322207,Card,Delayed
114,Rohit Sharma,"Flat 9, Dadar, Mumbai",KFC,Pizza,2,301.94,Dadar,15,45.24243408008299,Card,Delivered
115,Sneha Iyer,"Flat 107, Andheri East, Mumbai",Subway,Biryani,3,593.71,Andheri East,14,34.25491605860558,UPI,Cancelled
116,Neha Reddy,"Flat 76, Andheri West, Mumbai",Haldiram's,Biryani,1,346.17,Andheri West,6,33.096362764839625,UPI,Cancelled
117,Rohit Singh,"Flat 42, Vashi, Navi Mumbai",Behrouz Biryani,Burger,1,469.4,Vashi,20,49.596397261703046,Card,Cancelled
118,Neha Nair,"Flat 89, Thane, Thane",Starbucks,Fries,4,684.28,Thane,23,40.94846758614324,Card,Cancelled
119,Vikram Gupta,"Flat 19, Thane, Thane",Box8,Pizza,2,380.56,Thane,19,52.17973877704449,Cash,Delivered
120,Ramesh Nair,"Flat 40, Bandra, Mumbai",Chai Point,Fries,3,506.86,Bandra,23,27.118554207906218,UPI,Delayed
121,Amit Iyer,"Flat 38, Andheri West, Mumbai",Cafe Coffee Day,Biryani,1,70.03,Andheri West,4,33.008186971418006,Card,Delivered
122,Priya Sharma,"Flat 7, Andheri East, Mumbai",Cafe Coffee Day,Biryani,2,453.87,Andheri East,13,200.0,Cash,Cancelled
123,Priya Patel,"Flat 47, Andheri West, Mumbai",Burger King,Burger,2,215.42,Andheri West,22,46.045669499727,UPI,Cancelled
124,Rahul Verma,"Flat 19, Vashi, Navi Mumbai",Mainland China,Momos,3,332.35,Vashi,0,54.3230533813759,UPI,Delayed
125,Neha Gupta,"Flat 83, Thane, Thane",Cafe Coffee Day,Fries,4,169.72,Thane,7,33.38499389790009,UPI,Delivered
126,Amit Sharma,"Flat 4, Thane, Thane",Pizza Hut,Momos,1,404.04,Thane,0,32.49575394902619,Cash,Delayed
127,Sneha Iyer,"Flat 53, Andheri West, Mumbai",Cafe Coffee Day,Fries,4,537.7,Andheri West,19,32.219591912724205,UPI,Delayed
128,Ramesh Verma,"Flat 81, Bandra, Mumbai",Starbucks,Burger,4,645.16,Bandra,13,,Cash,Cancelled
129,Rahul Reddy,"Flat 29, Andheri West, Mumbai",Pizza Hut,Burger,3,250.8,Andheri West,23,27.97762721522921,Cash,Cancelled
130,Kiran Sharma,"Flat 82, Bandra, Mumbai",Cafe Coffee Day,Biryani,3,575.67,Bandra,20,34.71340412569908,UPI,Delivered
131,Neha Sharma,"Flat 34, Andheri West, Mumbai",Biryani Blues,Pizza,3,612.78,Andheri West,6,53.66962659451738,Card,Cancelled
132,Priya Iyer,"Flat 117, Powai, Mumbai",Starbucks,Wrap,4,525.41,Powai,16,8.518389985125097,Cash,Delivered
133,Amit Mehta,"Flat 30, Vashi, Navi Mumbai",Biryani Blues,Wrap,1,462.52,Vashi,18,56.90557659381851,UPI,Delivered
134,Amit Sharma,"Flat 14, Andheri East, Mumbai",Burger King,Fries,1,511.83,Andheri East,0,27.259362497869603,UPI,Delivered
135,Kiran Sharma,"Flat 9, Vashi, Navi Mumbai",Chai Point,Momos,3,577.82,Vashi,6,27.451370236683573,Cash,Delayed
136,Rahul Mehta,"Flat 32, Andheri East, Mumbai",Pizza Hut,Momos,1,728.6,Andheri East,20,34.80508292813574,Cash,Cancelled
137,Pooja Verma,"Flat 13, Andheri West, Mumbai",Wow! Momo,Biryani,3,305.22,Andheri West,13,42.492541227363965,Card,Delivered
138,Ankit Singh,"Flat 7, Bandra, Mumbai",Haldiram's,Momos,4,637.2,Bandra,9,44.069469258252006,Cash,Delayed
139,Amit Mehta,"Flat 56, Andheri East, Mumbai",EatSure,Fries,1,364.84,Andheri East,17,26.473162178078532,Cash,Delivered
140,Kiran Verma,"Flat 105, Thane, Thane",Cafe Coffee Day,Pizza,3,630.68,Thane,1,0.4222508959818896,UPI,Cancelled
141,Pooja Verma,"Flat 89, Powai, Mumbai",EatSure,Pasta,3,25.53,Powai,16,26.183684240753102,Card,Delayed
142,Rohit Singh,"Flat 28, Dadar, Mumbai",Subway,Burger,1,405.41,Dadar,15,8.468424498804644,Cash,Delayed
143,Rahul Gupta,"Flat 13, Bandra, Mumbai",McDonald's,Wrap,1,432.19,Bandra,11,46.4098995564666,UPI,Cancelled
144,Ramesh Mehta,"Flat 65, Thane, Thane",Paradise Biryani,Wrap,2,229.7,Thane,17,42.07666638690173,Cash,Delayed
145,Priya Sharma,"Flat 75, Bandra, Mumbai",Box8,Fries,3,627.14,Bandra,5,14.8795155939128,Card,Cancelled
146,Kiran Singh,"Flat 30, Thane, Thane",Paradise Biryani,Pasta,2,443.9,Thane,8,42.38216688762227,Card,Delayed
147,Priya Patel,"Flat 20, Vashi, Navi Mumbai",Rolls Mania,Pasta,3,259.76,Vashi,5,54.231389375265834,UPI,Cancelled
148,Suresh Singh,"Flat 14, Vashi, Navi Mumbai",Biryani Blues,Wrap,2,655.27,Vashi,4,28.696005172889578,Card,Delayed
149,Ramesh Mehta,"Flat 26, Bandra, Mumbai",Behrouz Biryani,Pizza,4,451.69,Bandra,14,62.56691588297187,UPI,Delivered
150,Vikram Mehta,"Flat 29, Vashi, Navi Mumbai",Box8,Burger,2,329.5,Vashi,8,60.19279111401994,Cash,Delayed
151,Vikram Sharma,"Flat 32, Vashi, Navi Mumbai",Chai Point,Pasta,4,415.24,Vashi,7,39.946247721915896,Cash,Delayed
152,Sneha Khan,"Flat 30, Dadar, Mumbai",Box8,Wrap,3,501.59,Dadar,8,11.176273154144091,Cash,Delayed
153,Rahul Mehta,"Flat 101, Andheri West, Mumbai",Subway,Biryani,4,420.35,Andheri West,15,48.99124539677587,Card,Delivered
154,Priya Mehta,"Flat 87, Thane, Thane",Haldiram's,Momos,1,728.59,Thane,12,33.94317312115324,Card,Delivered
155,Amit Singh,"Flat 28, Thane, Thane",Biryani Blues,Pasta,3,150.48,Thane,3,16.254296446993756,Cash,Cancelled
156,Neha Iyer,"Flat 61, Vashi, Navi Mumbai",Barbeque Nation,Pasta,3,210.68,Vashi,13,25.18941283129771,Cash,Cancelled
157,Suresh Patel,"Flat 66, Powai, Mumbai",Rolls Mania,Biryani,1,511.94,Powai,8,55.194339146893796,Card,Cancelled
158,Vikram Sharma,"Flat 10, Andheri East, Mumbai",Barbeque Nation,Pasta,3,327.1,Andheri East,3,22.038603437382818,UPI,Cancelled
159,Kiran Mehta,"Flat 29, Thane, Thane",Box8,Pizza,2,327.98,Thane,4,77.91600786084138,UPI,Delayed
160,Suresh Reddy,"Flat 72, Vashi, Navi Mumbai",Burger King,Biryani,4,510.86,Vashi,14,23.56962998673041,Card,Delayed
161,Sneha Patel,"Flat 107, Dadar, Mumbai",Paradise Biryani,Biryani,4,494.34,Dadar,21,44.57378689511746,Card,Cancelled
162,Sneha Patel,"Flat 1, Powai, Mumbai",Barbeque Nation,Pizza,3,218.16,Powai,10,21.37061200289921,Card,Cancelled
163,Vikram Khan,"Flat 11, Vashi, Navi Mumbai",Wow! Momo,Momos,4,439.16,Vashi,1,43.94210829872428,UPI,Delayed
164,Ankit Patel,"Flat 107, Thane, Thane",Domino's Pizza,Pizza,1,684.2,Thane,20,10.37850544642071,Card,Cancelled
165,Priya Verma,"Flat 19, Thane, Thane",Box8,Biryani,2,401.81,Thane,6,46.62993515765741,Card,Delayed
166,Rohit Khan,"Flat 78, Vashi, Navi Mumbai",Starbucks,Momos,3,496.29,Vashi,6,31.096041159846866,Card,Delayed
167,Suresh Nair,"Flat 95, Andheri East, Mumbai",KFC,Pasta,1,180.34,Andheri East,8,24.69486134914595,Card,Delivered
168,Rohit Reddy,"Flat 72, Powai, Mumbai",Burger King,Fries,4,162.18,Powai,7,39.83776634988189,Card,Delivered
169,Neha Khan,"Flat 95, Dadar, Mumbai",Chai Point,Wrap,3,161.76,Dadar,14,200.0,Card,Cancelled
170,Vikram Verma,"Flat 82, Andheri West, Mumbai",Domino's Pizza,Pasta,1,422.87,Andheri West,21,33.511861545607935,Cash,Cancelled
171,Rahul Nair,"Flat 63, Powai, Mumbai",Biryani Blues,Fries,4,237.12,Powai,20,61.73943889461583,UPI,Cancelled
172,Rahul Gupta,"Flat 61, Bandra, Mumbai",Biryani Blues,Biryani,4,320.76,Bandra,10,13.7758127186402,Card,Cancelled
173,Neha Sharma,"Flat 38, Dadar, Mumbai",Mainland China,Biryani,3,332.05,Dadar,16,18.144013603188924,Card,Delivered
174,Sneha Reddy,"Flat 16, Dadar, Mumbai",Wow! Momo,Pizza,1,604.4,Dadar,1,41.312014681619644,Card,Delayed
175,Neha Mehta,"Flat 74, Thane, Thane",Pizza Hut,Pizza,4,302.67,Thane,19,200.0,Cash,Delivered
176,Neha Nair,"Flat 49, Thane, Thane",Rolls Mania,Fries,1,846.44,Thane,6,74.57808203000747,UPI,Delayed
177,Sneha Reddy,"Flat 98, Vashi, Navi Mumbai",Pizza Hut,Wrap,1,-8.28,Vashi,20,31.947097999245972,UPI,Cancelled
178,Rohit Singh,"Flat 91, Thane, Thane",Faasos,Burger,3,464.5,Thane,0,33.75331541173088,Card,Delayed
179,Sneha Khan,"Flat 64, Andheri East, Mumbai",Faasos,Pasta,4,-100.0,Andheri East,14,0.5112668313619579,UPI,Delivered
180,Sneha Mehta,"Flat 76, Thane, Thane",Burger King,Wrap,4,292.86,Thane,17,31.99768605759926,UPI,Delivered
181,Sneha Reddy,"Flat 115, Andheri West, Mumbai",Domino's Pizza,Fries,1,-100.0,Andheri West,2,44.399437967457075,UPI,Delivered
182,Rohit Reddy,"Flat 36, Andheri East, Mumbai",Subway,Burger,3,495.9,Andheri East,23,27.707341624014592,Cash,Delayed
183,Rohit Verma,"Flat 81, Bandra, Mumbai",Behrouz Biryani,Burger,1,292.68,Bandra,0,25.178121993800513,UPI,Delivered
184,Sneha Khan,"Flat 50, Andheri East, Mumbai",Subway,Momos,4,554.68,Andheri East,19,36.19245080854992,UPI,Cancelled
185,Ankit Khan,"Flat 57, Vashi, Navi Mumbai",KFC,Biryani,2,7.27,Vashi,20,26.550607119179872,Card,Cancelled
186,Vikram Reddy,"Flat 101, Bandra, Mumbai",Behrouz Biryani,Burger,3,130.69,Bandra,19,43.78677264026317,Cash,Delivered
187,Rohit Khan,"Flat 40, Dadar, Mumbai",Paradise Biryani,Wrap,4,805.81,Dadar,21,36.82997934850695,Card,Delayed
188,Suresh Reddy,"Flat 89, Bandra, Mumbai",Subway,Pasta,1,212.05,Bandra,9,200.0,UPI,Delayed
189,Rohit Singh,"Flat 103, Dadar, Mumbai",EatSure,Biryani,1,684.09,Dadar,17,13.082314300726114,Cash,Cancelled
190,Vikram Iyer,"Flat 97, Dadar, Mumbai",Wow! Momo,Pasta,1,557.95,Dadar,21,34.74577256731499,Card,Cancelled
191,Kiran Iyer,"Flat 76, Bandra, Mumbai",Box8,Pasta,1,440.2,Bandra,17,48.894526969144486,Card,Delivered
192,Suresh Mehta,"Flat 67, Thane, Thane",Cafe Coffee Day,Biryani,4,260.53,Thane,16,30.370936420439328,Cash,Delivered
193,Suresh Iyer,"Flat 12, Andheri West, Mumbai",Barbeque Nation,Pasta,3,146.4,Andheri West,12,-11.237571485764917,Cash,Delivered
194,Suresh Sharma,"Flat 48, Powai, Mumbai",Box8,Momos,1,414.95,Powai,4,33.95609739864905,Card,Delayed
195,Amit Gupta,"Flat 67, Bandra, Mumbai",Biryani Blues,Momos,4,424.66,Bandra,18,41.05339809583302,Cash,Delivered
196,Ramesh Singh,"Flat 13, Powai, Mumbai",Rolls Mania,Pizza,3,607.56,Powai,1,37.390362687181934,Card,Delivered
197,Rohit Mehta,"Flat 4, Andheri East, Mumbai",Box8,Wrap,1,392.57,Andheri East,19,21.724325921303887,Cash,Cancelled
198,Rahul Verma,"Flat 41, Bandra, Mumbai",Cafe Coffee Day,Wrap,2,644.58,Bandra,14,10.891807522805667,UPI,Cancelled
199,Suresh Iyer,"Flat 5, Andheri West, Mumbai",Pizza Hut,Pasta,1,547.96,Andheri West,1,35.57626881402794,Card,Delayed
